country,country_num,year,iso3,devlev2,china,bndgrn,x1l,x2l,envtax,gdpg,bigtech,ngain,rating,riskeqt,riskctr,dum9,dum12,fie,cbmndsq,cbmnd,cbenfsq,cbenf,cbsyssq,cbsys,wui,gprlog,infl,enrgoil,prodstr,hierarchy,openness,purity
Switzerland,Switzerland,2019,CHE,High income,0,0.8036826848983765,,0.8036826848983765,1.38579174770679,1.08193084291257,0.009999999776482582,72.4458650856302,4.0,0.052,0.01,0,1,0.8558068370661736,25.0,5.0,36.0,6.0,0.0,0.0,0.628000020980835,5.07627010345459,0.4600000083446503,36.74200057983398,0.7614957094192505,,52.62,0.246815
Switzerland,Switzerland,2020,CHE,High income,0,-0.04267757013440132,,-0.04267756640911102,1.427365500137994,-2.870251911427928,,,4.0,0.0472,0.01,0,1,0.8558068370661736,25.0,5.0,36.0,6.0,0.0,0.0,0.8205000162124634,5.258591651916504,-0.25,33.30899810791016,0.7514495253562927,,52.62,0.246815
Switzerland,Switzerland,2021,CHE,High income,0,0.5975658893585205,,0.5975658893585205,1.470186465142133,,,,4.0,0.0424,0.01,0,1,,25.0,5.0,36.0,6.0,0.0,0.0,0.6467499732971191,5.353901863098145,0.3600000143051147,34.6510009765625,0.7677644491195679,,52.62,0.246815
Taiwan,Taiwan,2017,TWN,High income,0,-0.5518379211425781,,-0.5518378615379333,,,0.009999999776482582,,4.0,0.05776818054187514,0.006968180541875137,0,0,,,,,,,,0.1002499982714653,4.800258159637451,0.699999988079071,41.45500183105469,,2.69,45.7,0.311294
Taiwan,Taiwan,2018,TWN,High income,0,-0.2546982169151306,,-0.2546981871128082,,,0.009999999776482582,,4.0,0.06798944516023392,0.008389445160233917,0,0,,,,,,,,0.0,5.035384178161621,0.949999988079071,40.78300094604492,,2.69,45.7,0.311294
Taiwan,Taiwan,2019,TWN,High income,0,-0.06533446162939072,,-0.06533445417881012,,,0.009999999776482582,,4.0,0.0579612752318627,0.005961275231862704,0,0,,,,,,,,0.0,5.07627010345459,0.300000011920929,39.3489990234375,,2.69,45.7,0.311294
Taiwan,Taiwan,2020,TWN,High income,0,0.4015320539474487,,0.4015320539474487,,,,,4.0,0.05305397621902236,0.005853976219022356,0,0,,,,,,,,0.1037499979138374,5.258591651916504,0.2199999988079071,38.90599822998047,,,,
Taiwan,Taiwan,2021,TWN,High income,0,-0.1445017457008362,,-0.1445017158985138,,,,,4.0,0.04837749785972376,0.005977497859723764,0,0,,,,,,,,0.1254999935626984,5.353901863098145,1.269999980926514,38.51300048828125,,,,
Thailand,Thailand,2018,THA,High income,0,-2.261762857437134,,-2.261762857437134,2.59053657574011,4.189585495667075,4.230000019073486,52.3858486262426,3.0,0.08176316109494633,0.02216316109494632,0,0,0.8564116875886918,16.0,4.0,36.0,6.0,4.0,2.0,0.185249999165535,5.035384178161621,0.5299999713897705,46.16500091552734,-0.7488099932670593,3.23,,0.19355
Thailand,Thailand,2019,THA,High income,0,-0.3391105234622955,,-0.3391105234622955,2.50917713402571,2.266433671755948,7.369999885559082,52.8452132903743,3.0,0.06774844352298057,0.01574844352298058,0,0,0.8735399213404657,16.0,4.0,36.0,6.0,4.0,2.0,0.1120000034570694,5.07627010345459,0.3600000143051147,46.59600067138672,-0.623310387134552,3.23,,0.19355
Thailand,Thailand,2020,THA,High income,0,-0.3117274045944214,,-0.3117274343967438,2.46351321411777,-6.087220285056787,,,3.0,0.06266498195174562,0.01546498195174563,0,0,0.8735399213404657,16.0,4.0,36.0,6.0,4.0,2.0,0.0860000029206276,5.258591651916504,0.07000000029802322,44.67200088500977,-0.64641934633255,3.23,,0.19355
Thailand,Thailand,2021,THA,High income,0,-0.1138262525200844,,-0.1138262301683426,2.537418610541303,,,,3.0,0.05819130031598666,0.01579130031598666,0,0,,16.0,4.0,36.0,6.0,4.0,2.0,0.2084999978542328,5.353901863098145,0.0,43.95399856567383,-0.7861543297767639,3.23,,0.19355
Turkey,Turkey,2019,TUR,High income,0,-2.302585124969482,,-2.302585124969482,2.0891316178036,0.9165347964404731,0.009999999776482582,56.4926280425054,2.0,0.09639815433879835,0.04439815433879835,0,1,0.6543520874304772,4.0,2.0,36.0,6.0,4.0,2.0,0.3314999938011169,5.07627010345459,13.44999980926514,30.43400001525879,-0.8194668889045715,2.97,52.7,0.081107
Turkey,Turkey,2020,TUR,High income,0,-2.302585124969482,,-2.302585124969482,2.6258262437459,1.756650762529304,,,2.0,0.10049739542692,0.05329739542691996,0,1,0.6543520874304772,4.0,2.0,36.0,6.0,4.0,2.0,0.2037499994039536,5.258591651916504,11.1899995803833,28.55999946594238,-1.039822459220886,2.97,52.7,0.081107
Turkey,Turkey,2021,TUR,High income,0,0.6398714184761047,,0.6398714184761047,2.704601031058277,,,,2.0,0.09682199543927605,0.05442199543927606,0,1,,4.0,2.0,36.0,6.0,4.0,2.0,0.2787500023841858,5.353901863098145,18.28000068664551,27.66500091552734,-1.187611937522888,2.97,52.7,0.081107
Ukraine,Ukraine,2021,UKR,High income,0,0.5007752776145935,,0.5007752776145935,,,,,2.0,0.106725014281505,0.06432501428150497,0,0,,16.0,4.0,16.0,4.0,1.0,1.0,0.1997500061988831,5.353901863098145,6.869999885559082,13.72700023651123,-1.280929088592529,2.56,42.06,0.294697
United Arab Emirates,United Arab Emirates,2015,ARE,High income,0,-1.049822092056274,,-1.049822092056274,,5.105936983946975,0.009999999776482582,60.8174119532024,4.0,0.07034,0.00784,0,0,0.6765547394752502,49.0,7.0,36.0,6.0,9.0,3.0,0.0442500002682209,4.813110828399658,,40.25,-0.8644459843635559,,,-0.02121
